aikido_issue_id,aikido_issue_group_id,type,status,severity,severity_score,original_cvss_severity_score,affected_package,affected_file,affected_domain,related_license,related_cve,rule,code_repo,code_repo_branch,cloud,cloud_resource,container,virtual_machine,first_detected_at,closed_at,ignored_at,ignored_by,ignore_reason,snooze_reason,start_line,end_line,time_to_fix_minutes,sla_date,cwe_description,installed_version,patched_version
114036145,18509222,leaked_secret,open,high,80,80,,scripts/security/verify_encryption.py,,,,,TraigentBackend,main,,,,,2025-12-05,,,,,,113,113,60,,,,
114036146,18509223,leaked_secret,open,high,80,80,,scripts/security/validate_deployment_advanced.py,,,,,TraigentBackend,main,,,,,2025-12-05,,,,,,155,155,60,,,,
122017572,18796012,leaked_secret,open,high,80,80,,tools/refresh-tokens.sh,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,146,146,60,,,,
122017573,18796012,leaked_secret,open,high,80,80,,tools/refresh-tokens.sh,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,150,150,60,,,,
122017533,18796012,leaked_secret,open,low,27,80,,docs/SECRETS_MIGRATION_SUMMARY.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,22,22,60,,,,
122017534,18796013,leaked_secret,open,high,80,80,,reports/detailed-src-review.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,193,194,60,,,,
122017535,18796013,leaked_secret,open,high,80,80,,reports/detailed-src-review.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,194,195,60,,,,
122017537,18796014,leaked_secret,open,high,80,80,,reports/SOC2_IMPLEMENTATION_ROADMAP.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,590,590,60,,,,
122017574,18796015,leaked_secret,open,high,80,80,,CLAUDE.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,155,155,60,,,,
122017539,18796015,leaked_secret,open,low,27,80,,docs/authentication/AUTHENTICATION_SOLUTION.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,116,116,60,,,,
122017575,18796015,leaked_secret,open,low,27,80,,docs/authentication/AUTHENTICATION_SOLUTION.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,21,22,60,,,,
122017576,18796015,leaked_secret,open,low,27,80,,docs/authentication/AUTHENTICATION_SOLUTION.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,24,25,60,,,,
122017577,18796015,leaked_secret,open,low,27,80,,docs/authentication/AUTHENTICATION_SOLUTION.md,,,,,TraigentFrontend,master,,,,,2025-12-12,,,,,,25,26,60,,,,
114035956,18509190,open_source,open,high,75,75,langchain-community,requirements-docker.txt,,,CVE-2025-6984,,TraigentBackend,main,,,,,2025-12-05,,,,,,,,15,,"Accidental exposure of sensitive info possible",0.3.24,0.3.27
114035962,18509190,open_source,open,high,75,75,langchain-community,requirements.txt,,,CVE-2025-6984,,TraigentBackend,main,,,,,2025-12-05,,,,,,,,15,,"Accidental exposure of sensitive info possible",0.3.24,0.3.27
116867064,18509201,open_source,open,high,75,75,urllib3,uv.lock,,,CVE-2025-66418,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,"Attacker can trigger DOS-attack",2.5.0,2.6.0
116867077,18509201,open_source,open,high,75,75,urllib3,uv.lock,,,CVE-2025-66471,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,,2.5.0,2.6.0
116867099,18509201,open_source,open,high,75,75,urllib3,requirements-docker.txt,,,CVE-2025-66418,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,"Attacker can trigger DOS-attack",2.5.0,2.6.0
116867113,18509201,open_source,open,high,75,75,urllib3,requirements-docker.txt,,,CVE-2025-66471,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,,2.5.0,2.6.0
116867134,18509201,open_source,open,high,75,75,urllib3,requirements.txt,,,CVE-2025-66418,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,"Attacker can trigger DOS-attack",2.5.0,2.6.0
116867143,18509201,open_source,open,high,75,75,urllib3,requirements.txt,,,CVE-2025-66471,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,,2.5.0,2.6.0
116867157,18509201,open_source,open,high,75,75,urllib3,requirements/base.txt,,,CVE-2025-66418,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,"Attacker can trigger DOS-attack",2.5.0,2.6.0
116867170,18509201,open_source,open,high,75,75,urllib3,requirements/base.txt,,,CVE-2025-66471,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,,2.5.0,2.6.0
116867249,18509201,open_source,open,high,75,75,urllib3,requirements/test.txt,,,CVE-2025-66418,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,"Attacker can trigger DOS-attack",2.5.0,2.6.0
116867259,18509201,open_source,open,high,75,75,urllib3,requirements/test.txt,,,CVE-2025-66471,,TraigentBackend,main,,,,,2025-12-06,,,,,,,,30,,,2.5.0,2.6.0
137034229,19285317,open_source,open,high,75,75,qs,docs/tvl/tvl-website/pnpm-lock.yaml,,,CVE-2025-15284,,Traigent,main,,,,,2025-12-31,,,,,,,,30,,"Attacker can abuse missing input validation",6.13.0,6.14.1
123053024,18509203,open_source,open,high,74,74,cryptography,requirements/optional.txt,,,CVE-2024-12797,,TraigentBackend,main,,,,,2025-12-12,,,,,,,,60,,,42.0.8,44.0.1
123053015,18509203,open_source,open,medium,50,50,cryptography,requirements/optional.txt,,,GHSA-h4gh-qq45-vh27,,TraigentBackend,main,,,,,2025-12-12,,,,,,,,60,,"Package depends on a vulnerable third-party component",42.0.8,43.0.1
114035952,18509186,open_source,open,high,71,71,litellm,uv.lock,,,AIKIDO-2025-10710,,TraigentBackend,main,,,,,2025-12-05,,,,,,,,30,,"Authorization bypass possible",1.74.8,1.77.1
122017413,18529068,iac,open,medium,65,65,,Dockerfile,,,,"Docker container runs as default root user",TraigentFrontend,master,,,,,2025-12-12,,,,,,1,37,60,,,,
113974886,18504057,sast,open,medium,62,87,,traigent/security/jwt_validator.py,,,,"JWT signature is not verified or uses unsafe algorithm",Traigent,main,,,,,2025-12-05,,,,,,393,396,60,,,,
123952756,18504057,sast,open,medium,47,87,,traigent/security/jwt_validator.py,,,,"JWT signature is not verified or uses unsafe algorithm",Traigent,main,,,,,2025-12-13,,,,,,480,488,60,,,,
113974754,18504055,sast,open,medium,60,50,,playground/optimization_storage.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,128,128,60,,,,
113974800,18504055,sast,open,medium,60,50,,scripts/code_analysis/run_analysis.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,110,110,60,,,,
113974815,18504055,sast,open,medium,60,50,,scripts/extract_inline_examples.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,316,316,60,,,,
113974844,18504055,sast,open,medium,60,50,,traigent/core/optimized_function.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,1857,1857,60,,,,
113974846,18504055,sast,open,medium,60,50,,traigent/hooks/config.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,232,232,60,,,,
113974867,18504055,sast,open,medium,60,50,,traigent/utils/optimization_analyzer.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,136,136,60,,,,
